SampleCode,Fabric,YarnCount,Tension,Replicate,Wash,Shrinkage
C20L - 1,Cotton,20,Low,1,Wash 1,2.5
C20L - 1,Cotton,20,Low,1,Wash 2,3.5000000000000004
C20L - 2,Cotton,20,Low,2,Wash 1,1.0
C20L - 2,Cotton,20,Low,2,Wash 2,2.0
C20L - 3,Cotton,20,Low,3,Wash 1,0.5
C20L - 3,Cotton,20,Low,3,Wash 2,1.5
C20S - 1,Cotton,20,Medium,1,Wash 1,1.0
C20S - 1,Cotton,20,Medium,1,Wash 2,2.5
C20S - 2,Cotton,20,Medium,2,Wash 1,2.5
C20S - 2,Cotton,20,Medium,2,Wash 2,4.0
C20S - 3,Cotton,20,Medium,3,Wash 1,2.5
C20S - 3,Cotton,20,Medium,3,Wash 2,4.0
C20H - 1,Cotton,20,High,1,Wash 1,1.5
C20H - 1,Cotton,20,High,1,Wash 2,3.0
C20H - 2,Cotton,20,High,2,Wash 1,2.5
C20H - 2,Cotton,20,High,2,Wash 2,3.0
C20H - 3,Cotton,20,High,3,Wash 1,2.5
C20H - 3,Cotton,20,High,3,Wash 2,3.0
C40L - 1,Cotton,40,Low,1,Wash 1,1.0
C40L - 1,Cotton,40,Low,1,Wash 2,5.0
C40L - 2,Cotton,40,Low,2,Wash 1,2.0
C40L - 2,Cotton,40,Low,2,Wash 2,3.0
C40L - 3,Cotton,40,Low,3,Wash 1,1.5
C40L - 3,Cotton,40,Low,3,Wash 2,2.5
C40S - 1,Cotton,40,Medium,1,Wash 1,2.5
C40S - 1,Cotton,40,Medium,1,Wash 2,3.0
C40S - 2,Cotton,40,Medium,2,Wash 1,1.5
C40S - 2,Cotton,40,Medium,2,Wash 2,2.5
C40S - 3,Cotton,40,Medium,3,Wash 1,1.5
C40S - 3,Cotton,40,Medium,3,Wash 2,2.5
C40H - 1,Cotton,40,High,1,Wash 1,2.0
C40H - 1,Cotton,40,High,1,Wash 2,3.0
C40H - 2,Cotton,40,High,2,Wash 1,1.5
C40H - 2,Cotton,40,High,2,Wash 2,2.5
C40H - 3,Cotton,40,High,3,Wash 1,2.0
C40H - 3,Cotton,40,High,3,Wash 2,3.0
P20L - 1,Polyester,20,Low,1,Wash 1,0.0
P20L - 1,Polyester,20,Low,1,Wash 2,0.5
P20L - 2,Polyester,20,Low,2,Wash 1,0.0
P20L - 2,Polyester,20,Low,2,Wash 2,0.5
P20L - 3,Polyester,20,Low,3,Wash 1,0.5
P20L - 3,Polyester,20,Low,3,Wash 2,1.0
P20S - 1,Polyester,20,Medium,1,Wash 1,0.0
P20S - 1,Polyester,20,Medium,1,Wash 2,1.0
P20S - 2,Polyester,20,Medium,2,Wash 1,0.5
P20S - 2,Polyester,20,Medium,2,Wash 2,1.5
P20S - 3,Polyester,20,Medium,3,Wash 1,0.5
P20S - 3,Polyester,20,Medium,3,Wash 2,1.5
P20H - 1,Polyester,20,High,1,Wash 1,1.0
P20H - 1,Polyester,20,High,1,Wash 2,2.5
P20H - 2,Polyester,20,High,2,Wash 1,2.5
P20H - 2,Polyester,20,High,2,Wash 2,4.0
P20H - 3,Polyester,20,High,3,Wash 1,0.5
P20H - 3,Polyester,20,High,3,Wash 2,2.5
P40L - 1,Polyester,40,Low,1,Wash 1,0.0
P40L - 1,Polyester,40,Low,1,Wash 2,0.5
P40L - 2,Polyester,40,Low,2,Wash 1,0.0
P40L - 2,Polyester,40,Low,2,Wash 2,0.5
P40L - 3,Polyester,40,Low,3,Wash 1,0.5
P40L - 3,Polyester,40,Low,3,Wash 2,1.0
P40S - 1,Polyester,40,Medium,1,Wash 1,0.0
P40S - 1,Polyester,40,Medium,1,Wash 2,0.5
P40S - 2,Polyester,40,Medium,2,Wash 1,0.0
P40S - 2,Polyester,40,Medium,2,Wash 2,0.5
P40S - 3,Polyester,40,Medium,3,Wash 1,0.0
P40S - 3,Polyester,40,Medium,3,Wash 2,0.5
P40H - 1,Polyester,40,High,1,Wash 1,0.5
P40H - 1,Polyester,40,High,1,Wash 2,1.5
P40H - 2,Polyester,40,High,2,Wash 1,1.0
P40H - 2,Polyester,40,High,2,Wash 2,2.0
P40H - 3,Polyester,40,High,3,Wash 1,1.0
P40H - 3,Polyester,40,High,3,Wash 2,2.0
